Countries code,Countries label,Migration Country (inflow) (5 categories) code,Migration Country (inflow) (5 categories) label,Ethnic group (6 categories) code,Ethnic group (6 categories) label,National Statistics Socio-economic Classification (NS-SeC) (10 categories) code,National Statistics Socio-economic Classification (NS-SeC) (10 categories) label,Count
E92000001,England,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
E92000001,England,-8,Does not apply,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,-8,Does not apply,3,L7: Intermediate occupations,0
E92000001,England,-8,Does not apply,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E92000001,England,-8,Does not apply,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E92000001,England,-8,Does not apply,-8,Does not apply,6,L12: Semi-routine occupations,0
E92000001,England,-8,Does not apply,-8,Does not apply,7,L13: Routine occupations,0
E92000001,England,-8,Does not apply,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E92000001,England,-8,Does not apply,-8,Does not apply,9,L15: Full-time students,0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,0
E92000001,England,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,0
E92000001,England,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E92000001,England,-8,Does not apply,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,0
E92000001,England,-8,Does not apply,4,White,-8,Does not apply,0
E92000001,England,-8,Does not apply,4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,4,White,3,L7: Intermediate occupations,0
E92000001,England,-8,Does not apply,4,White,4,L8 and L9: Small employers and own account workers,0
E92000001,England,-8,Does not apply,4,White,5,L10 and L11: Lower supervisory and technical occupations,0
E92000001,England,-8,Does not apply,4,White,6,L12: Semi-routine occupations,0
E92000001,England,-8,Does not apply,4,White,7,L13: Routine occupations,0
E92000001,England,-8,Does not apply,4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E92000001,England,-8,Does not apply,4,White,9,L15: Full-time students,0
E92000001,England,-8,Does not apply,5,Other ethnic group,-8,Does not apply,0
E92000001,England,-8,Does not apply,5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E92000001,England,-8,Does not apply,5,Other ethnic group,3,L7: Intermediate occupations,0
E92000001,England,-8,Does not apply,5,Other ethnic group,4,L8 and L9: Small employers and own account workers,0
E92000001,England,-8,Does not apply,5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,0
E92000001,England,-8,Does not apply,5,Other ethnic group,6,L12: Semi-routine occupations,0
E92000001,England,-8,Does not apply,5,Other ethnic group,7,L13: Routine occupations,0
E92000001,England,-8,Does not apply,5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E92000001,England,-8,Does not apply,5,Other ethnic group,9,L15: Full-time students,0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,-8,Does not apply,0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,3,L7: Intermediate occupations,0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,6,L12: Semi-routine occupations,0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,7,L13: Routine occupations,0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E92000001,England,1,Lived at the same address one year ago,-8,Does not apply,9,L15: Full-time students,0
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,1098510
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",479171
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",544692
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,326621
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,365784
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,133479
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,352946
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,358486
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,577082
E92000001,England,1,Lived at the same address one year ago,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,412527
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,499291
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",136371
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",285708
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,153677
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,114923
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,59971
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,203694
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,180858
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,184349
E92000001,England,1,Lived at the same address one year ago,2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,225172
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,-8,Does not apply,611283
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",96006
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",144607
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,77398
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,62603
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,31082
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,75597
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,74463
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,72009
E92000001,England,1,Lived at the same address one year ago,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,124151
E92000001,England,1,Lived at the same address one year ago,4,White,-8,Does not apply,6522411
E92000001,England,1,Lived at the same address one year ago,4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4512145
E92000001,England,1,Lived at the same address one year ago,4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7056995
E92000001,England,1,Lived at the same address one year ago,4,White,3,L7: Intermediate occupations,4153777
E92000001,England,1,Lived at the same address one year ago,4,White,4,L8 and L9: Small employers and own account workers,3809197
E92000001,England,1,Lived at the same address one year ago,4,White,5,L10 and L11: Lower supervisory and technical occupations,1973218
E92000001,England,1,Lived at the same address one year ago,4,White,6,L12: Semi-routine occupations,4033364
E92000001,England,1,Lived at the same address one year ago,4,White,7,L13: Routine occupations,4304934
E92000001,England,1,Lived at the same address one year ago,4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,2611094
E92000001,England,1,Lived at the same address one year ago,4,White,9,L15: Full-time students,1647258
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,-8,Does not apply,229437
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",89391
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",107482
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,3,L7: Intermediate occupations,55831
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,4,L8 and L9: Small employers and own account workers,93388
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,34291
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,6,L12: Semi-routine occupations,69826
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,7,L13: Routine occupations,98980
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,149945
E92000001,England,1,Lived at the same address one year ago,5,Other ethnic group,9,L15: Full-time students,94330
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,-8,Does not apply,0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,3,L7: Intermediate occupations,0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,6,L12: Semi-routine occupations,0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,7,L13: Routine occupations,0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",-8,Does not apply,9,L15: Full-time students,0
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",-8,Does not apply,98217
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",77873
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",73324
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,31542
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,27990
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,13082
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,33113
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,32389
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,43168
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,112838
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,50915
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",21026
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",33204
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,16427
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,11068
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,6184
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,22022
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,20282
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,18993
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,60114
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,-8,Does not apply,65940
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",22694
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",29301
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,13208
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,9716
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,5362
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,11704
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,13361
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,9239
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",3,Mixed or Multiple ethnic groups,9,L15: Full-time students,46764
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,-8,Does not apply,620855
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",562801
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",797625
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,3,L7: Intermediate occupations,387422
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,4,L8 and L9: Small employers and own account workers,331763
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,5,L10 and L11: Lower supervisory and technical occupations,185668
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,6,L12: Semi-routine occupations,343926
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,7,L13: Routine occupations,377233
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,175859
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",4,White,9,L15: Full-time students,633547
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,-8,Does not apply,25990
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",16481
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",15981
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,3,L7: Intermediate occupations,7304
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,4,L8 and L9: Small employers and own account workers,11739
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,4871
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,6,L12: Semi-routine occupations,8887
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,7,L13: Routine occupations,14894
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,17240
E92000001,England,2,"Inflow: lived elsewhere one year ago, but within the same area",5,Other ethnic group,9,L15: Full-time students,25366
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,-8,Does not apply,0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,3,L7: Intermediate occupations,0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,6,L12: Semi-routine occupations,0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,7,L13: Routine occupations,0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",-8,Does not apply,9,L15: Full-time students,0
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",-8,Does not apply,673
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1221
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",650
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,257
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,176
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,135
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,267
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,187
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,513
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,1855
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,380
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",319
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",292
E92000001,England,3,"Inflow: lived elsewhere one year ago outside the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,153
