Migrant country one year ago code,Migrant country one year ago label,Migration Country (outflow) (2 categories) code,Migration Country (outflow) (2 categories) label,Ethnic group (6 categories) code,Ethnic group (6 categories) label,National Statistics Socio-economic Classification (NS-SeC) (10 categories) code,National Statistics Socio-economic Classification (NS-SeC) (10 categories) label,Count
-8,Does not apply,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
-8,Does not apply,-8,Does not apply,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
-8,Does not apply,-8,Does not apply,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
-8,Does not apply,-8,Does not apply,-8,Does not apply,3,L7: Intermediate occupations,0
-8,Does not apply,-8,Does not apply,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
-8,Does not apply,-8,Does not apply,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
-8,Does not apply,-8,Does not apply,-8,Does not apply,6,L12: Semi-routine occupations,0
-8,Does not apply,-8,Does not apply,-8,Does not apply,7,L13: Routine occupations,0
-8,Does not apply,-8,Does not apply,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
-8,Does not apply,-8,Does not apply,-8,Does not apply,9,L15: Full-time students,0
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,1115994
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",486733
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",553142
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,331177
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,372434
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,136500
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,358542
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,363543
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,584963
-8,Does not apply,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,421740
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,505230
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",137937
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",288307
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,155006
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,116177
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,60539
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,205748
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,182893
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,186651
-8,Does not apply,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,228436
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,-8,Does not apply,628293
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",98400
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",148641
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,79824
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,64604
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,32193
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,78381
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,77209
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,74583
-8,Does not apply,-8,Does not apply,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,128163
-8,Does not apply,-8,Does not apply,4,White,-8,Does not apply,6953439
-8,Does not apply,-8,Does not apply,4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4740667
-8,Does not apply,-8,Does not apply,4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7500520
-8,Does not apply,-8,Does not apply,4,White,3,L7: Intermediate occupations,4419948
-8,Does not apply,-8,Does not apply,4,White,4,L8 and L9: Small employers and own account workers,4039750
-8,Does not apply,-8,Does not apply,4,White,5,L10 and L11: Lower supervisory and technical occupations,2116993
-8,Does not apply,-8,Does not apply,4,White,6,L12: Semi-routine occupations,4333215
-8,Does not apply,-8,Does not apply,4,White,7,L13: Routine occupations,4608053
-8,Does not apply,-8,Does not apply,4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,2799456
-8,Does not apply,-8,Does not apply,4,White,9,L15: Full-time students,1773067
-8,Does not apply,-8,Does not apply,5,Other ethnic group,-8,Does not apply,235253
-8,Does not apply,-8,Does not apply,5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",91150
-8,Does not apply,-8,Does not apply,5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",109215
-8,Does not apply,-8,Does not apply,5,Other ethnic group,3,L7: Intermediate occupations,56746
-8,Does not apply,-8,Does not apply,5,Other ethnic group,4,L8 and L9: Small employers and own account workers,95063
-8,Does not apply,-8,Does not apply,5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,34993
-8,Does not apply,-8,Does not apply,5,Other ethnic group,6,L12: Semi-routine occupations,71055
-8,Does not apply,-8,Does not apply,5,Other ethnic group,7,L13: Routine occupations,100623
-8,Does not apply,-8,Does not apply,5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,153328
-8,Does not apply,-8,Does not apply,5,Other ethnic group,9,L15: Full-time students,97529
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,-8,Does not apply,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,3,L7: Intermediate occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,6,L12: Semi-routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,7,L13: Routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",-8,Does not apply,9,L15: Full-time students,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,-8,Does not apply,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",3,Mixed or Multiple ethnic groups,9,L15: Full-time students,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,-8,Does not apply,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,3,L7: Intermediate occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,4,L8 and L9: Small employers and own account workers,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,5,L10 and L11: Lower supervisory and technical occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,6,L12: Semi-routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,7,L13: Routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,8,L14.1 and L14.2: Never worked and long-term unemployed,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",4,White,9,L15: Full-time students,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,-8,Does not apply,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,3,L7: Intermediate occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,4,L8 and L9: Small employers and own account workers,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,6,L12: Semi-routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,7,L13: Routine occupations,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,0
-8,Does not apply,1,"Outflow: moved out of the area, but within the associated area",5,Other ethnic group,9,L15: Full-time students,0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,3,L7: Intermediate occupations,0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,6,L12: Semi-routine occupations,0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,7,L13: Routine occupations,0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
999999999,Person with migrant origin outside the UK,-8,Does not apply,-8,Does not apply,9,L15: Full-time students,0
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,24713
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",16631
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",18884
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,5086
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,4112
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,1850
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,4766
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,6772
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,22764
999999999,Person with migrant origin outside the UK,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,56085
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,10531
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3814
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",5486
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,1688
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,1402
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",5,L10 and L11: Lower supervisory and technical occupations,614
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",6,L12: Semi-routine occupations,2296
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",7,L13: Routine occupations,3095
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",8,L14.1 and L14.2: Never worked and long-term unemployed,5767
999999999,Person with migrant origin outside the UK,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",9,L15: Full-time students,13305
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,-8,Does not apply,5840
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2457
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2548
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,1084
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,1283
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,382
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,827
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,7,L13: Routine occupations,1693
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,1723
999999999,Person with migrant origin outside the UK,-8,Does not apply,3,Mixed or Multiple ethnic groups,9,L15: Full-time students,5298
999999999,Person with migrant origin outside the UK,-8,Does not apply,4,White,-8,Does not apply,28363
999999999,Person with migrant origin outside the UK,-8,Does not apply,4,White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",42262
